Abashiri	網走市
Shari	斜里町
Shibata	新発田市
Shibata	柴田町
Shibayama	芝山町
Shibecha	標茶町
Shibetsu	士別市
Shibetsu	標津町
Shibukawa	渋川市
Shibushi	志布志市
Shibuya	渋谷区
Shichigahama	七ヶ浜町
Shichikashuku	七ヶ宿町
Shichinohe	七戸町
Shihoro	士幌町
Shijōnawate	四條畷市
Shika	志賀町
Shikabe	鹿部町
Shikama	色麻町
Shikaoi	鹿追町
Shiki	志木市
Shikokuchūō	四国中央市
Shima	志摩市
Shimabara	島原市
Shimada	島田市
Shimamoto	島本町
Shimanto	四万十市
Shimanto	四万十町
Shime	志免町
Shimizu	清水
Shimizu	清水町
Shimoda	下田市
Shimodate	下館市
Shimogō	下郷町
Shimoichi	下市町
Shimokawa	下川町
Shimonita	下仁田町
Shimonoseki	下関市
Shimonoseki	下関
Shimosuwa	下諏訪町
Shimotsuke	下野市
Shimotsuma	下妻市
Shin'onsen	新温泉町
Shinagawa	品川区
Shinano	信濃町
Shinchi	新地町
Shingū	新宮市
Shingū	新宮町
Shinhidaka	新ひだか町
Shinjō	新庄市
Shinjuku	新宿区
Shinkamigotō	新上五島町
Shinshiro	新城市
Shintoku	新得町
Shintomi	新富町
Shintotsukawa	新十津川町
Shiogama	塩竈市
Shiojiri	塩尻市
Shioya	塩谷町
Shirahama	白浜町
Shirakawa	白河市
Shirakawa	白川町
Shirako	白子町
Shiranuka	白糠町
Shiraoi	白老町
Shiraoka	白岡市
Shirataka	白鷹町
Shiriuchi	知内町
Shiroi	白井市
Shiroishi	白石市
Shiroishi	白石町
Shirosato	城里町
Shisō	宍粟市
Shisui	酒々井町
Shitara	設楽町
Shiwa	紫波町
Shizukuishi	雫石町
Shizuoka	静岡市
Shizuoka	静岡
Shōbara	庄原市
Shōdoshima	小豆島町
Shōnai	庄内町
Shōō	勝央町
Shōwa	昭和町
Shūnan	周南市
Sōbetsu	壮瞥町
Sodegaura	袖ヶ浦市
Soeda	添田町
Sōja	総社市
Sōka	草加市
Sōma	相馬市
Soo	曽於市
Sōsa	匝瑳市
Sotogahama	外ヶ浜町
Special wards of Tokyo	東京特別区部
Sue	須恵町
Suginami	杉並区
Sugito	杉戸町
Suita	吹田市
Sukagawa	須賀川市
Sukumo	宿毛市
Sumida	墨田区
Sumita	住田町
Sumoto	洲本市
Sunagawa	砂川市
Suōōshima	周防大島町
Susaki	須崎市
Susami	すさみ町
Susono	裾野市
Suttsu	寿都町
Suwa	諏訪市
Suzaka	須坂市
Suzu	珠洲市
Suzuka	鈴鹿市
Suzuka	鈴鹿
Tabuse	田布施町
Tachiarai	大刀洗町
Tachikawa	立川市
Tachikawa	立川
Tadami	只見町
Tadaoka	忠岡町
Tadotsu	多度津町
Taga	多賀町
Tagajō	多賀城市
Tagami	田上町
Tagawa	田川市
Tahara	田原市
Taiji	太地町
Taiki	大樹町
Taiki	大紀町
Tainai	胎内市
Taira	平市
Taishi	太子町
Taitō	台東区
Taiwa	大和町
Tajimi	多治見市
Tajiri	田尻町
Taka	多可町
Takachiho	高千穂町
Takahagi	高萩市
Takahama	高浜市
Takahama	高浜町
Takaharu	高原町
Takahashi	高梁市
Takahata	高畠町
Takaishi	高石市
Takamatsu	高松市
Takamatsu	高松
Takamori	高森町
Takanabe	高鍋町
Takanezawa	高根沢町
Takaoka	高岡市
Takaoka	高岡
Takarazuka	宝塚市
Takarazuka	宝塚
Takasago	高砂市
Takasaki	高崎市
Takasaki	高崎
Takashima	高島市
Takasu	鷹栖町
Takatori	高取町
Takatsuki	高槻市
Takatsuki	高槻
Takayama	高山市
Takayama	高山
Takefu	武生市
Takehara	竹原市
Takeo	武雄市
Taketa	竹田市
Taketomi	竹富町
Taketoyo, Mihama	武豊町
Taki	多気町
Takikawa	滝川市
Takinoue	滝上町
Takizawa	滝沢市
Takko	田子町
Tako	多古町
Taku	多久市
Tama	多摩市
Tamaki	玉城町
Tamamura	玉村町
Tamana	玉名市
Tamano	玉野市
Tamba	丹波市
Tamura	田村市
Tanabe	田辺市
Tanagura	棚倉町
Tanashi	田無市
Taniyama	谷山市
Tano	田野町
Tara	太良町
Taragi	多良木町
Tarui	垂井町
Tarumizu	垂水市
Tatebayashi	館林市
Tateshina	立科町
Tateshina-Kogen	蓼科高原
Tateyama	館山市
Tateyama	立山町
Tatsugō	龍郷町
Tatsuno	たつの市
Tatsuno	辰野町
Tatsuno	龍野市
Tawaramoto	田原本町
Tendō	天童市
Tenri	天理市
Teshikaga	弟子屈町
Teshio	天塩町
Toba	鳥羽市
Toba	鳥羽
Tobata	戸畑市
Tobe	砥部町
Tōbetsu	当別町
Tochigi	栃木市
Toda	戸田市
Tōei	東栄町
Tōgane	東金市
Togitsu	時津町
Tōgō	東郷町
Tōhoku	東北町
Tōin	東員町
Tōkai	東海市
Tōkamachi	十日町市
Toki	土岐市
Tokigawa	ときがわ町
Tokoname	常滑市
Tokorozawa	所沢市
Tokunoshima	徳之島町
Tokushima	徳島市
Tokushima	徳島
Tokyo	東京
Tokyo	東京市
Tōma	当麻町
Tomakomai	苫小牧市
Tomamae	苫前町
Tome	登米市
Tōmi	東御市
Tomigusuku	豊見城市
Tomika	富加町
Tomioka	富岡市
Tomioka	富岡町
Tomisato	富里市
Tomiya	富谷市
Tonami	砺波市
Tondabayashi	富田林市
Tone	利根町
Tōno	遠野市
Tonoshō	土庄町
Tōnoshō	東庄町
Tōon	東温市
Toride	取手市
Tosa	土佐市
Tosa	土佐町
Tosashimizu	土佐清水市
Toshima	豊島区
Tosu	鳥栖市
Tottori	鳥取市
Tottori	鳥取
Towada	十和田市
Towada	十和田
Tōyako	洞爺湖町
Toyama	富山市
Toyama	富山
Tōyo	東予市
Tōyō	東洋町
Toyoake	豊明市
Toyohara	豊原市
Toyohashi	豊橋市
Toyohashi	豊橋
Toyokawa	豊川市
Toyokoro	豊頃町
Toyonaka	豊中市
Toyono	豊能町
Toyooka	豊岡市
Toyosato	豊郷町
Toyota	豊田市
Toyota	豊田
Toyotomi	豊富町
Toyoura	豊浦町
Toyoyama	豊山町
Tsu	津市
Tsu	津
Tsubame	燕市
Tsubata	津幡町
Tsubetsu	津別町
Tsuchiura	土浦市
Tsugaru	つがる市
Tsukigata	月形町
Tsukuba	つくば市
Tsukubamirai	つくばみらい市
Tsukumi	津久見市
Tsunagi	津奈木町
Tsunan	津南町
Tsuno	津野町
Tsuno	都農町
Tsuru	都留市
Tsuruga	敦賀市
Tsurugashima	鶴ヶ島市
Tsurugi	つるぎ町
Tsuruoka	鶴岡市
Tsuruta	鶴田町
Tsushima	津島市
Tsushima	対馬市
Tsuwano	津和野町
Tsuyama	津山市
Ube	宇部市
Ube	宇部
Uchigō	内郷市
Uchiko	内子町
Uchinada	内灘町
Uda	宇陀市
Ueda	上田市
Uenohara	上野原市
Ugo	羽後町
Uji	宇治市
Uji	宇治
Ujitawara	宇治田原町
Uki	宇城市
Ukiha	うきは市
Umi	宇美町
Unnan	雲南市
Unzen	雲仙市
Unzen	雲仙
Uonuma	魚沼市
Uozu	魚津市
Urahoro	浦幌町
Urakawa	浦河町
Urasoe	浦添市
Urasoe	浦添
Urausu	浦臼町
Urawa	浦和
Urayasu	浦安市
Ureshino	嬉野市
Uruma	うるま市
Uryū	雨竜町
Usa	宇佐市
Ushiku	牛久市
Usuki	臼杵市
Utashinai	歌志内市
Utazu	宇多津町
Uto	宇土市
Utsunomiya	宇都宮市
Utsunomiya	宇都宮
Uwajima	宇和島市
Wadomari	和泊町
Wajima	輪島市
Wakamatsu	若松市
Wakasa	若狭町
Wakasa	若桜町
Wakayama	和歌山市
Wakayama	和歌山
Wake	和気町
Waki	和木町
Wakkanai	稚内市
Wakkanai	稚内
Wakō	和光市
Wakuya	涌谷町
Wanouchi	輪之内町
Warabi	蕨市
Wassamu	和寒町
Watarai	度会町
Watari	亘理町
Wazuka	和束町
Yabu	養父市
Yabuki	矢吹町
Yachimata	八街市
Yachiyo	八千代市
Yachiyo	八千代町
Yaese	八重瀬町
Yahaba	矢巾町
Yahata	八幡市
Yaita	矢板市
Yaizu	焼津市
Yakage	矢掛町
Yakumo	八雲町
Yakushima	屋久島
Yakushima	屋久島町
Yamada	山田町
Yamada	山田市
Yamaga	山鹿市
Yamagata	山県市
Yamagata	山形市
Yamagata	山形
Yamaguchi	山口市
Yamaguchi	山口
Yamakita	山北町
Yamamoto	山元町
Yamanashi	山梨市
Yamanobe	山辺町
Yamanouchi	山ノ内町
Yamato	大和市
Yamato	山都町
Yamatokōriyama	大和郡山市
Yamatotakada	大和高田市
Yamatsuri	矢祭町
Yame	八女市
Yanagawa	柳川市
Yanai	柳井市
Yanaizu	柳津町
Yao	八尾市
Yao	八尾
Yaotsu	八百津町
Yashio	八潮市
Yasu	野洲市
Yasuda	安田町
Yasugi	安来市
Yatomi	弥富市
Yatsushiro	八代市
Yawata	八幡市
Yawatahama	八幡浜市
Yazu	八頭町
Yoichi	余市町
Yōkaichiba	八日市場市
Yokkaichi	四日市市
Yokkaichi	四日市
Yokohama	横浜市
Yokohama	横浜
Yokohama	横浜町
Yokoshibahikari	横芝光町
Yokosuka	横須賀市
Yokosuka	横須賀
Yokote	横手市
Yokoze	横瀬町
Yonabaru	与那原町
Yonago	米子市
Yonago	米子
Yonaguni	与那国町
Yonezawa	米沢市
Yorii	寄居町
Yōrō	養老町
Yoron	与論町
Yosano	与謝野町
Yoshida	吉田町
Yoshika	吉賀町
Yoshikawa	吉川市
Yoshimi	吉見町
Yoshino	吉野町
Yoshinogari	吉野ヶ里町
Yoshinogawa	吉野川市
Yoshioka	吉岡町
Yoshitomi	吉富町
Yotsukaidō	四街道市
Yuasa	湯浅町
Yūbari	夕張市
Yūbetsu	湧別町
Yufu	由布市
Yugawara	湯河原町
Yūki	結城市
Yukuhashi	行橋市
Yuni	由仁町
Yunohira	湯平
Yunomae	湯前町
Yura	由良町
Yurihama	湯梨浜町
Yurihonjō	由利本荘市
Yusuhara	梼原町
Yūsui	湧水町
Yuza	遊佐町
Yuzawa	湯沢市
Yuzawa	湯沢
Yuzawa	湯沢町
Zama	座間市
Zaō	蔵王町
Zentsūji	善通寺市
Zushi	逗子市
Zushi	逗子
